楼栋 ,房号 , 建筑面积,套内建筑面积,得房率,申请毛坯单价 ,装修价,总价 ,操作 
6幢2单元,102室,136.88㎡,119.02㎡,86.95%,27166元/㎡,-,3718482.08元,可售
6幢2单元,201室,125.61㎡,109.22㎡,86.95%,26721元/㎡,-,3356424.81元,可售
6幢2单元,202室,138.49㎡,120.42㎡,86.95%,26855元/㎡,-,3719148.95元,可售
6幢2单元,301室,125.61㎡,109.22㎡,86.95%,27021元/㎡,-,3394107.81元,可售
6幢2单元,302室,138.49㎡,120.42㎡,86.95%,27155元/㎡,-,3760695.95元,可售
6幢2单元,401室,125.61㎡,109.22㎡,86.95%,27271元/㎡,-,3425510.31元,可售
6幢2单元,402室,138.49㎡,120.42㎡,86.95%,27405元/㎡,-,3795318.45元,可售
6幢2单元,501室,125.61㎡,109.22㎡,86.95%,27521元/㎡,-,3456912.81元,可售
6幢2单元,502室,138.49㎡,120.42㎡,86.95%,27655元/㎡,-,3829940.95元,可售
6幢2单元,601室,125.61㎡,109.22㎡,86.95%,27900元/㎡,-,3504519元,可售
6幢2单元,602室,138.49㎡,120.42㎡,86.95%,28035元/㎡,-,3882567.15元,可售
6幢2单元,701室,125.61㎡,109.22㎡,86.95%,27750元/㎡,-,3485677.5元,可售
6幢2单元,702室,138.49㎡,120.42㎡,86.95%,27885元/㎡,-,3861793.65元,可售
7幢1单元,102室,116.55㎡,101.38㎡,86.98%,27487元/㎡,-,3203609.85元,可售
7幢1单元,201室,138.59㎡,120.55㎡,86.98%,27362元/㎡,-,3792099.58元,可售
7幢1单元,202室,125.56㎡,109.22㎡,86.99%,26721元/㎡,-,3355088.76元,可售
7幢1单元,301室,138.59㎡,120.55㎡,86.98%,27662元/㎡,-,3833676.58元,可售
7幢1单元,302室,125.56㎡,109.22㎡,86.99%,27021元/㎡,-,3392756.76元,可售
7幢1单元,401室,138.59㎡,120.55㎡,86.98%,27912元/㎡,-,3868324.08元,可售
7幢1单元,402室,125.56㎡,109.22㎡,86.99%,27271元/㎡,-,3424146.76元,可售
7幢1单元,501室,138.59㎡,120.55㎡,86.98%,28162元/㎡,-,3902971.58元,可售
7幢1单元,502室,125.56㎡,109.22㎡,86.99%,27521元/㎡,-,3455536.76元,可售
7幢1单元,601室,138.59㎡,120.55㎡,86.98%,28545元/㎡,-,3956051.55元,可售
7幢1单元,602室,125.56㎡,109.22㎡,86.99%,27900元/㎡,-,3503124元,可售
7幢1单元,701室,138.59㎡,120.55㎡,86.98%,28395元/㎡,-,3935263.05元,可售
7幢1单元,702室,125.56㎡,109.22㎡,86.99%,27750元/㎡,-,3484290元,可售
7幢2单元,102室,116.53㎡,101.36㎡,86.98%,27487元/㎡,-,3203060.11元,可售
7幢2单元,201室,125.56㎡,109.22㎡,86.99%,26721元/㎡,-,3355088.76元,可售
